X,Y
653.5,573.6
652.7,568.5
651.8,561.8
648.8,557.4
646.3,557.6
645,559
645.7,554.6
645,547.5
645.6,543.7
643.2,541.7
641.3,540
646,539.6
651.6,537.9
653.5,540.1
655.9,537.6
661.7,539.2
665,539.8
665.5,540.3
663.4,545.6
659.8,546.3
660.2,549.3
656.8,549.3
652.8,542.2
649.8,544.1
649.7,546.1
652.8,554.9
653.2,555.7
652.5,557
657.5,559.9
657.6,555.9
660,554.1
660,552.7
662.1,550.2
663.6,550.1
667.1,546.4
669.6,548.2
668.5,551.8
663.5,560.7
667.1,567.3
670.2,572.5
670.4,573.1
677.6,568.6
679.3,569.2
682.6,571.4
683.6,568
682,562.1
679.3,560.7
676,565.1
674.9,566.4
671.1,564.7
670,565.2
670.9,563.5
674.1,560.5
675.1,559.1
673.9,555.6
681.1,559.8
684.4,557
687.6,559.8
688.9,557.1
694.7,559.4
698.1,558.8
696.2,561.7
698.5,566.4
705,560.5
705.7,556.2
705.7,554.1
706.8,549.4
705.2,547.7
703.3,545
704.5,542.8
702.9,542.3
698.9,544
700.7,547.1
700.6,547.8
698.1,549
696.6,550.2
692.4,553.6
687.8,552.6
688.1,550.3
686.1,544.5
685.1,548.8
683.3,552.7
679.9,554.8
677.5,549.8
677.2,545
672.8,543.6
674.9,542.6
676.5,538.7
686,535.7
687,535.7
689,535.5
689.6,539
692.7,538.9
695.3,531.2
705.2,531.7
704.7,529.7
705.8,528.4
704.8,527.9
702.9,525.2
706.6,524.5
711,532.3
709.4,532.3
708.7,534.1
709.9,534.7
711.7,535.1
711.9,540.6
710,540.4
709.7,546.5
715.3,548.5
718.5,544.4
717.7,543.8
715.8,535.8
720,535.1
721.4,534.7
719,536.6
718.9,538.4
722.1,537.9
724.8,543.3
726.7,547.1
720.4,547.9
719.7,548.5
720.1,554.9
723,556.3
721.5,561.7
723,564
729,560.7
729.1,560.7
731.7,549.6
732.7,545.1
730,544.6
730.5,536.3
729.8,534.1
730.6,533.8
737.8,535.7
740.4,539
740.7,538.3
746.4,535.3
744.6,541.5
738.2,540.6
736.6,541.5
736.9,543.5
742,551.5
742.8,551.7
737.5,554.9
735.1,556.4
741.1,556.1
743.5,557.3
746.7,556.8
743.4,564
736.6,567.6
738.3,569
741.1,576.9
741.4,583.7
742.5,581.4
747.2,578.5
748.1,579.4
751,575.6
756.4,579.2
759.4,577.9
761.3,574.8
763,575.4
